Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
13a55559-23f4-ea62-66d9-3b43c82c5023,1984-05-02,,999-47-4249,S99976921,X58154671X,Mr.,Julius90,Marquis364,Dickinson688,,,D,white,nonhispanic,M,Methuen  Massachusetts  US,793 Schaden Branch Apt 75,Chester,Massachusetts,Hampden County,25003,01011,42.260074515215365,-72.9386605426827,76544.42,0.00,46329
81d594e6-e455-933f-4c22-0b59f53f4f0f,2002-02-12,,999-35-7650,S99958515,X55504982X,Ms.,Concepción765,Luisa710,Miranda712,,,,white,hispanic,F,Santo Domingo  National District  DO,217 Murphy Green Suite 40,Springfield,Massachusetts,Hampden County,25013,01109,42.065449107069846,-72.55546315007615,52544.82,92167.10,55221
dfb05308-ce5c-6ad3-05b8-b7a545f58a89,2004-09-22,,999-54-1100,S99954951,,Ms.,Stefania815,Tierra831,Mosciski958,,,,white,nonhispanic,F,Springfield  Massachusetts  US,834 Jerde Burg,Amherst Center,Massachusetts,Hampshire County,,00000,42.33128851863803,-72.47024641568939,4395.86,164458.43,2198
aa3aa37b-d233-9ace-99ea-80c540f76d7b,1979-03-31,,999-35-1760,S99959435,X78261552X,Mrs.,Bruna504,Elene949,Ullrich385,,Toy286,M,white,nonhispanic,F,Boxborough  Massachusetts  US,570 Beier Brook Suite 55,Waltham,Massachusetts,Middlesex County,25017,02452,42.4227610773706,-71.21693904301415,537108.14,335309.92,48143
0e6d1d23-4a67-e624-3739-c4755633235e,1973-02-20,,999-27-5093,S99995306,X34495765X,Mrs.,Felicidad691,Jann271,Waters156,,Waelchi213,M,white,nonhispanic,F,Winchendon  Massachusetts  US,226 O'Hara Camp Unit 18,Lawrence,Massachusetts,Essex County,25009,01841,42.70510587616957,-71.19394479427979,23866.24,1536209.65,2501
bdafa94d-fbb5-7573-ece8-fa0030ce626d,2012-04-04,,999-54-8216,,,,Hyman89,,Hilpert278,,,,white,nonhispanic,M,Revere  Massachusetts  US,1075 Kovacek Ramp,Lowell,Massachusetts,Middlesex County,25017,01854,42.58744397513501,-71.3682394284486,3023.85,62974.35,17415
a0624f1f-d5f4-1351-41f3-14b5166f51ba,1983-07-20,,999-88-7070,S99982184,X24694118X,Mrs.,Corie618,Sima34,Tremblay80,,Shields502,M,black,nonhispanic,F,Boston  Massachusetts  US,354 VonRueden Well,Ludlow,Massachusetts,Hampden County,,00000,42.17057466753085,-72.42208414320699,31039.99,579063.70,26171
cfefb5b2-7aaf-d15f-cb22-7cdc03fd7dbe,1973-06-19,2017-08-04,999-83-8060,S99940265,X82047195X,Mrs.,Eugene421,Willette878,Schiller186,,Yost751,M,black,nonhispanic,F,Marshfield  Massachusetts  US,1077 O'Connell Route,Berkley,Massachusetts,Bristol County,,00000,41.848234316549636,-71.07847586734773,689843.02,96656.86,37599
963c828d-70c9-1d71-6265-9a5ded573cf9,2001-09-02,,999-11-1710,S99972456,X64575843X,Ms.,Sam879,Fidela881,Hammes673,,,,white,nonhispanic,F,Newton  Massachusetts  US,243 Krajcik Terrace Apt 70,Lowell,Massachusetts,Middlesex County,25017,01850,42.59442285520763,-71.27630685229548,110699.30,38151.28,172429
485de0fb-11d7-7302-26e2-c45fb2bd109a,2007-07-22,,999-15-6012,S99928014,,,Veda284,Agnus790,Anderson154,,,,white,nonhispanic,F,Somerset  Massachusetts  US,425 Schuster Esplanade,Peabody,Massachusetts,Essex County,25009,01960,42.49473351818445,-71.00554096724727,4092.60,223098.61,24387
aedbd9ac-d8f6-4306-66bc-2f94e91e9b8c,1973-06-19,,999-36-9754,S99962622,X9996861X,Mrs.,Mamie949,Cher186,Wisozk929,,Upton904,M,black,nonhispanic,F,Boston  Massachusetts  US,768 McGlynn Rest Unit 94,Berkley,Massachusetts,Bristol County,,00000,41.79647125271039,-71.11231073201526,411126.66,40151.14,37599
eb457698-5fec-1d05-6846-7ec4acc5a5bc,2003-04-09,,999-28-1155,S99992231,X40102229X,Mr.,Wyatt967,Trenton748,Hackett68,,,,white,hispanic,M,Somerville  Massachusetts  US,696 Anderson Spur,Revere,Massachusetts,Suffolk County,25025,02151,42.45276256084696,-70.96992422202068,54397.77,10158.42,38780
cb70410d-9d06-d0ff-bcb5-3728f7106181,1965-03-31,,999-16-9667,S99951506,X89748837X,Mr.,Kareem959,,Lakin515,,,M,black,nonhispanic,M,Athol  Massachusetts  US,723 Doyle Mill,Randolph,Massachusetts,Norfolk County,25021,02368,42.20095993282856,-71.03030741322834,119148.45,268180.55,631767
70219faa-3353-5924-7c98-608060f12570,2018-10-13,,999-70-3106,,,,Thurman577,Ozzie259,Bruen238,,,,asian,nonhispanic,M,Mumbai  Maharashtra  IN,569 Lynch Extension Unit 67,Billerica,Massachusetts,Middlesex County,,00000,42.536563231680006,-71.27095576832089,14267.38,0.00,93894
ab334674-fdff-b5e6-1239-04e8b077e169,2008-12-25,,999-79-1821,,,,Joseph689,Hee424,Gleichner915,,,,white,hispanic,F,Millis  Massachusetts  US,802 Kirlin Common Apt 24,Millbury,Massachusetts,Worcester County,,00000,42.22893506033625,-71.75487634144352,58826.75,393076.61,178159
2f96c320-b2f2-0790-dbf8-53923489121e,1966-01-29,,999-14-6538,S99963129,X70527329X,Mr.,Efren426,,Cruickshank494,,,M,white,nonhispanic,M,Holden  Massachusetts  US,900 Kovacek Alley,Attleboro,Massachusetts,Bristol County,25005,02703,41.864166201199374,-71.32616937851799,170979.71,130555.06,47658
